City, Latitude, Longitud, Distance
Xianning,29.84144,114.32244,1036
Shashi jingzhou,30.31106,112.25558,1125
Zhuhai,22.27098,113.57668,155
Wuhu,31.35286,118.43294,1309
Tonghua jilin,41.7284,125.9397,3059
Jiaozuo,35.21589,113.24182,1646
Changde,29.03165,111.69878,954
Cangzhou,38.30448,116.83883,2050
Jiangmen,22.57912,113.08151,149
Chibi hubei,29.72469,113.90063,986
Tanggu tianjin,39.02971,117.65984,2176
Guli zhejiang,30.05103,122.0185,1440
Enshi,30.27216,109.48817,1308
Yangzhou,32.39421,119.41294,1492
Zaoyang,32.12882,112.77196,1263
Neijiang,29.58023,105.05843,1537
Jiamusi,46.79978,130.31888,3699
Siping jilin,43.16642,124.3504,2993
Shihezi,44.3061,86.0806,4489
Bengbu,32.91629,117.38972,1378
Ankang,32.68471,109.02902,1644
Xiantao,30.36088,113.42348,1070
Zhangzhou,24.51302,117.64709,570
Yingkou,40.66743,122.23508,2744
Luancheng,37.9002,114.64832,1949
Shuangyashan,46.64651,131.15913,3772
Jinzhou,41.09569,121.12685,2595
Yingcheng,30.92837,113.57271,1137
Yichun,27.81574,114.41679,729
Xingtai,37.07083,114.50468,1857
Taizhou,28.65638,121.42076,1249
Haikou,20.04441,110.19829,669
Panshan,40.05971,117.28318,2282
Yancheng,33.34732,120.16366,1658
Shaoguan,24.81088,113.59762,339
Dandong,40.00079,124.35445,2958
Zhenjiang,32.18785,119.42584,1472
Zhanjiang,21.2707,110.35937,495
Guilin,25.23448,110.17995,605
Ezhou,30.39194,114.89484,1005
Mudanjiang,44.55165,129.63317,3540
Nantong,31.98017,120.89429,1526
Puyang Chengguanzhen,35.90471,115.50079,1647
Xiangtan,27.8298,112.94403,741
Hanchuan,30.66124,113.83915,1151
Liaoyang,41.26724,123.23694,2790
Huangshi,30.20003,115.03884,992
Fuxin,42.0216,121.67027,2721
Zigong,29.33903,104.77844,1531
Dangyang,30.82127,111.78831,1228
Zhangjiakou,40.76754,114.88634,2387
Changzhi,36.19541,113.1164,1779
Zhuzhou,27.82799,113.13385,735
Yantai,37.46454,121.44785,2141
Zhumadian,33.01153,114.0223,1401
Langfang,39.53805,116.68375,2139
Jiujiang,29.70508,116.00193,937
Hegang,47.34992,130.29796,3763
Xinxiang,35.3037,113.92676,1639
Xiaogan,30.91777,113.95704,1161
Hengyang,26.89337,112.57202,648
Qinhuangdao,39.93536,119.60052,2410
Xining,36.61713,101.77822,2686
Shangyu,30.03312,120.86812,1341
Hohhot,40.84236,111.74999,2422
Anyang,36.09758,114.39239,1743
Xinyu,27.81781,114.91735,682
Nanning,22.817,108.36654,671
Luzhou,28.87157,105.44174,1445
Yulin,22.65403,110.18122,490
Tianmen,29.04681,110.48208,1122
Wenzhou,27.99383,120.69936,1127
Qiqihar,47.35435,123.91819,3585
Pingxiang,27.62277,113.85456,790
Pingdingshan,33.76617,113.19266,1450
Kaifeng,34.79728,114.30758,1613
Huaibei,33.95584,116.79827,1507
Changzhou,31.81123,119.97406,1491
Ganzhou,25.83069,114.93355,440
Benxi,41.48698,123.68514,2852
Baoding,35.14749,-80.83288,2092
Zhu Cheng City,35.99565,119.4101,1895
Jieyang,23.5497,116.37271,328
Jingzhou,30.33524,112.23963,1123
Huainan,32.62548,116.99993,1336
Xianyang,34.32961,108.70899,1851
Changshu City,31.65438,120.75248,1476
Datong,40.07676,113.30013,2261
Lijiang,26.85505,100.22775,1964
Guiyang,26.64766,106.63015,1060
Fuzhou,26.07448,119.29648,825
Tongshan,29.60538,114.48261,974
Anshan,41.10865,122.99433,2794
Yueyang,29.3568,113.12873,917
Yichang,30.69197,111.28647,1188
Panzhihua,26.58235,101.71864,1798
Xuchang,34.03577,113.85245,1494
Baotou,40.65798,109.84031,2558
Suqian,33.96323,118.2752,1636
Handan,36.62566,114.53896,1809
Guankou,28.16879,113.64169,838
Luoyang,34.6202,112.45393,1577
Fushun,41.88087,123.95721,2863
Ya'an,29.98054,103.01326,1754
Xinyang,32.14768,114.09119,1315
Kunshan,31.3856,120.98074,1463
Xiangyang,32.00902,112.12243,1314
Jilin,43.15201,126.43714,3150
Ordos,39.60827,109.78133,2433
Yan'an,36.58544,109.48976,2115
Nanchang,28.68289,115.8582,803
Ziyang,30.1289,104.62764,1623
Yunfu,22.91509,112.04449,272
Lanzhou,36.06109,103.8343,2446
Huai'an,33.55105,119.11319,1578
Shijiazhuang,38.04281,114.51489,1968
Xuzhou,34.20577,117.28412,1552
UEruemqi,43.82559,87.61685,4352
Changsha,28.22821,112.93881,789
Zhongshan,22.51759,113.39277,126
Zibo Shandong,36.81355,118.05502,1936
Hefei,31.82059,117.22722,1233
Bazhong,31.8679,106.74748,1770
Tangshan,39.63087,118.18019,2266
Taiyuan,37.87059,112.54888,1985
Shiyan,32.6294,110.79827,1459
Ningbo,29.86834,121.54399,1375
